company,product name,video date,primary category,description summary,is_sota,tags,license type,deployment,low vram friendly (< 8GB),project url
Independent / Research,PanoWorld,2026-05-24,3D Generator,3D panorama world generator rendering 360-degree landscapes.,No,"3D generator, panorama generation, 360 world generation",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://jjrcn.github.io/PanoWorld-project-home/
Google,TPU v8,2026-05-21,Hardware & Semiconductors,Google's custom AI accelerator chip powering large-scale model training and inference.,Yes,"hardware, AI chip, infrastructure, Google Cloud TPU",Proprietary Hardware,Cloud / Web API,N/A (Cloud),https://cloud.google.com/tpu
Google,Google XR Glasses,2026-05-21,Hardware & Semiconductors,Google's smart augmented reality glasses powered by lightweight Gemini AI.,No,"hardware, XR, AI glasses, smart wearables",Proprietary Hardware,Local (Hardware),No,https://blog.google/technology/hardware/xr-glasses/
Google,Google Agentic Search,2026-05-21,AI Search & Data,Google's agentic search engine performing autonomous deep research and synthesis.,Yes,"AI search, deep research, search engine, web research agent",Proprietary / Web Search,Cloud / Web API,N/A (Cloud),https://google.com/search
Google,Gemini Spark,2026-05-21,AI Model (LLM),Lightweight Gemini variant optimized for on-device mobile AI features.,No,"AI model, lightweight LLM, mobile on-device model",Proprietary / API,Cloud / Web API,N/A (Cloud),https://blog.google/technology/ai/gemini-spark
Google DeepMind,Gemini Omni,2026-05-21,AI Model (LLM),"Google DeepMind's flagship multimodal model integrating simultaneous voice, video, and text reasoning.",Yes,"AI model, multimodal LLM, audio visual text model",Proprietary / Commercial API,Cloud / Web API,N/A (Cloud),https://deepmind.google/models/gemini-omni/
Google DeepMind,Gemini 3.5 Flash,2026-05-21,AI Model (LLM),Google DeepMind's fast multimodal model providing low latency for developer APIs.,Yes,"AI model, multimodal LLM, developer API",Proprietary / Commercial API,Cloud / Web API,N/A (Cloud),https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-5
Google,Antigravity 2.0,2026-05-21,AI Coding Assistant,Google's next-generation AI development platform and agentic coding workspace.,Yes,"AI development platform, IDE tool, agentic coding workspace",Proprietary / Developer Platform,Cloud / Web API,N/A (Cloud),https://antigravity.google/
NVIDIA,SANA WM,2026-05-17,World Model & Physics Sim,NVIDIA's fast open-source image world model generating high-resolution environments.,No,"AI model, world model, open-source, fast image-world generation",Open Weights,Local (Low VRAM < 8GB),Yes,https://nvlabs.github.io/Sana/WM/
Independent / Research,PhyMotion,2026-05-17,World Model & Physics Sim,Physics-based animation tool generating realistic motion dynamics for 2D objects.,No,"visual tool, physics animation, physical simulation",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://phy-motion.github.io/
AMAP ML,DreamX World,2026-05-17,World Model & Physics Sim,3D world model creating interactive 3D virtual environments.,No,"world model, 3D generator, environment synthesis",Research / Open Code,Local (High VRAM >= 8GB),No,https://amap-ml.github.io/DreamX_World/
Scenema AI,Scenema,2026-05-17,TTS & Voice Synthesis,AI sound design tool generating synchronized ambient audio and sound effects for video scenes.,No,"audio, voice tool, sound design, dialogue generation",Proprietary / Web Tool,Cloud / Web API,N/A (Cloud),https://scenema.ai/audio
Independent,Just Dub it,2026-05-17,TTS & Voice Synthesis,Open-source video dubbing tool translating video audio and aligning lip sync automatically.,Yes,"TTS, audio, video dubbing, multi-lingual audio",Open Source (MIT),Local (Low VRAM < 8GB),Yes,https://justdubit.github.io/
Resemble AI,DramaBox,2026-05-17,TTS & Voice Synthesis,Multi-character TTS generator creating expressive audio dramas with distinct voices.,No,"TTS, audio, voice generation, multi-character audio drama",Open Weights,Local (Low VRAM < 8GB),Yes,https://huggingface.co/ResembleAI/Dramabox
Xynova,Xynova Hand,2026-05-17,Robotics & Hardware,Dexterous robotic hand with multi-joint tactile sensors for delicate manipulation.,No,"robotics, hardware, dexterous robotic hand",Proprietary Hardware,Local (Hardware),No,https://xynova.com/hand
Unitree,Unitree Mecha,2026-05-17,Robotics & Hardware,Heavy-duty robotic mecha exoskeleton for locomotion and physical payload transport.,No,"robotics, hardware, mecha exoskeleton, quadruped",Proprietary Hardware,Local (Hardware),No,https://unitree.com/mecha
Independent / Research,Warp as History,2026-05-17,AI Video Generator,Video generation method maintaining temporal coherence by warping historical feature frames.,No,"visual tool, video generation, temporal warping",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://yyfz.github.io/warp-as-history/
Independent / Research,CausalCine,2026-05-17,AI Video Generator,Cinematic video generator with causal camera control.,No,"visual tool, video generation, causal camera control",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://yihao-meng.github.io/CausalCine/
Independent / Research,AsymFlow,2026-05-17,AI Video Generator,Asymmetric flow matching framework for fast video frame interpolation.,No,"visual tool, video generation, asymmetric flow matching",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://hanshengchen.com/asymflow/
OpenAI,ChatGPT Personal Finance,2026-05-17,AI Search & Data,ChatGPT module providing personal budget analysis and financial tracking.,No,"AI model, financial tool, personal assistant, budget agent",Proprietary / Web Feature,Cloud / Web API,N/A (Cloud),https://openai.com/index/personal-finance-chatgpt
Independent / Research,Khala,2026-05-17,AI Music & Audio,AI music synthesis engine performing multi-track vocal and instrument separation.,No,"AI music, audio, vocal separation, music synthesis",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://khala-music-ai.github.io/Khala-demo/
Thinking Machines,Thinking Machines Interactive Models,2026-05-17,AI Model (LLM),Interactive model architecture enabling real-time reasoning over graphical user interfaces.,No,"AI model, interaction model, real-time UI reasoning",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://thinkingmachines.ai/blog/interaction-models/
OpenBMB,MiniCPM-V 4.6,2026-05-17,AI Model (LLM),OpenBMB's top-ranked open-source vision-language model designed for on-device deployment.,Yes,"AI model, vision-language model, open-source, mobile deployment",Open Source (Apache 2.0),Local (Low VRAM < 8GB),Yes,https://huggingface.co/openbmb/MiniCPM-V-4.6/tree/main
Krea AI,Krea 2,2026-05-17,AI Image Generator,Real-time AI image generator and design canvas with sub-second visual feedback.,Yes,"visual tool, image generator, AI design, real-time generation",Proprietary / Web Tool,Cloud / Web API,N/A (Cloud),https://www.krea.ai/krea-2
OpenAI,Codex on Phone,2026-05-17,AI Coding Assistant,OpenAI's mobile interface allowing developers to trigger and monitor Codex coding agents from smartphones.,No,"AI coding assistant, mobile app, remote code execution",Proprietary / Mobile App,Cloud / Web API,N/A (Cloud),https://openai.com/index/work-with-codex-from-anywhere/
Google DeepMind,Gemini Cursor,2026-05-17,AI Agent & Research Framework,Google DeepMind visual pointer AI allowing agents to interact directly with computer GUIs.,Yes,"AI model, visual pointer, interaction tool, GUI agent",Proprietary / Research Paper,Cloud / Web API,N/A (Cloud),https://deepmind.google/blog/ai-pointer
KAIST CVLab,TrackCraft3r,2026-05-17,3D Generator,3D tracking framework estimating object movement and 3D bounding boxes from video.,No,"visual tool, 3D tracking, object pose estimation",Open Source (MIT),Local (Low VRAM < 8GB),Yes,https://github.com/cvlab-kaist/TrackCraft3r
Independent / Research,RelitLive,2026-05-17,3D Generator,Real-time 3D relighting tool modifying lighting on 3D objects dynamically.,No,"visual tool, 3D relighting, real-time light synthesis",Research / Open Code,Local (High VRAM >= 8GB),No,https://zhuxing0.github.io/projects/Relit-LiVE/
Independent / Research,Pixal3D,2026-05-17,3D Generator,Single-image 3D generator reconstructing textured 3D meshes.,No,"3D generator, visual tool, 3D mesh reconstruction",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://ldyang694.github.io/projects/pixal3d/
Orange 3DV Team,MoCam,2026-05-17,3D Generator,Camera motion capture tool extracting cinematic camera paths from 2D videos.,No,"3D generator, motion capture, camera trajectory",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://orange-3dv-team.github.io/MoCam/
Independent / Research,Articraft,2026-05-17,3D Generator,3D object generator constructing articulated 3D models with movable joints.,No,"3D generator, visual tool, articulated 3D object synthesis",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://articraft3d.github.io/
Tsinghua / Research,MAMMAL,2026-05-14,Medical AI & Biology,"Tsinghua biology foundation model outperforming AlphaFold 3 in predicting gene, protein, and small molecule interactions.",Yes,"AI model, medical AI, biology foundation model, drug discovery",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://www.nature.com/articles/s44386-026-00047-4
